SampleID	Pool representation	BarcodeSequence	LinkerPrimerSequence	bodysite	Subject	BCS	Nasal_exsudate	Respiratory_rate	Coughing	Auscultation	Description
q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
P1A26	More represented	P1A26.feces	farm1.feces.P1A26	feces	farm1	3	0	0	0	0	feces
P1A26	More represented	P1A26.rumen	farm1.rumen.P1A26	rumen	farm1	3	0	0	0	0	rumen
P1A26	More represented	P1A26.SNP	farm1.SNP.P1A26	SNP	farm1	3	0	0	0	0	SNP
P1A28	More represented	P1A28.feces	farm1.feces.P1A28	feces	farm1	2	1	1	0	0	feces
P1A28	More represented	P1A28.SNP	farm1.SNP.P1A28	SNP	farm1	2	1	1	0	0	SNP
P1A29	More represented	P1A29.feces	farm1.feces.P1A29	feces	farm1	2	1	1	0	0	feces
P1A29	More represented	P1A29.rumen	farm1.rumen.P1A29	rumen	farm1	2	1	1	0	0	rumen
P1A29	More represented	P1A29.SNP	farm1.SNP.P1A29	SNP	farm1	2	1	1	0	0	SNP
P1A4	More represented	P1A4.feces	farm1.feces.P1A4	feces	farm1	2.75	0	0	1	0	feces
P1A4	More represented	P1A4.rumen	farm1.rumen.P1A4	rumen	farm1	2.75	0	0	1	0	rumen
P1A4	More represented	P1A4.SNP	farm1.SNP.P1A4	SNP	farm1	2.75	0	0	1	0	SNP
P1A7	More represented	P1A7.feces	farm1.feces.P1A7	feces	farm1	.	0	0	0	0	feces
P1A7	More represented	P1A7.rumen	farm1.rumen.P1A7	rumen	farm1		0	0	0	0	rumen
P1A7	More represented	P1A7.SNP	farm1.SNP.P1A7	SNP	farm1	.	0	0	0	0	SNP
P1A8	More represented	P1A8.feces	farm1.feces.P1A8	feces	farm1	2	1	1	0	1	feces
P1A8	More represented	P1A8.rumen	farm1.rumen.P1A8	rumen	farm1	2	1	1	0	1	rumen
P1A8	More represented	P1A8.SNP	farm1.SNP.P1A8	SNP	farm1	2	1	1	0	1	SNP
P1A9	More represented	P1A9.feces	farm1.feces.P1A9	feces	farm1	3	1	0	0	0	feces
P1A9	More represented	P1A9.rumen	farm1.rumen.P1A9	rumen	farm1	3	1	0	0	0	rumen
P1A9	More represented	P1A9.SNP	farm1.SNP.P1A9	SNP	farm1	3	1	0	0	0	SNP
P2A1	Underrepresented	P2A1.feces	farm2.feces.P2A1	feces	farm2	2	1	1	0	0	feces
P2A1	Underrepresented	P2A1.rumen	farm2.rumen.P2A1	rumen	farm2	2	1	1	0	0	rumen
P2A1	Underrepresented	P2A1.SNP	farm2.SNP.P2A1	SNP	farm2	2	1	1	0	0	SNP
P2A10	Underrepresented	P2A10.feces	farm2.feces.P2A10	feces	farm2	3	0	0	0	0	feces
P2A10	Underrepresented	P2A10.rumen	farm2.rumen.P2A10	rumen	farm2	2	1	1	0	0	rumen
P2A10	Underrepresented	P2A10.SNP	farm2.SNP.P2A10	SNP	farm2	3	0	0	0	0	SNP
P2A14	Underrepresented	P2A14.feces	farm2.feces.P2A14	feces	farm2	1.25	1	1	0	0	feces
P2A14	Underrepresented	P2A14.rumen	farm2.rumen.P2A14	rumen	farm2	3	0	0	0	0	rumen
P2A14	Underrepresented	P2A14.SNP	farm2.SNP.P2A14	SNP	farm2	1.25	1	1	0	0	SNP
P2A16	Underrepresented	P2A16.feces	farm2.feces.P2A16	feces	farm2	3	1	1	0	0	feces
P2A16	Underrepresented	P2A16.rumen	farm2.rumen.P2A16	rumen	farm2	1.25	1	1	0	0	rumen
P2A16	Underrepresented	P2A16.SNP	farm2.SNP.P2A16	SNP	farm2	3	1	1	0	0	SNP
P2A18	Underrepresented	P2A18.feces	farm2.feces.P2A18	feces	farm2	2	1	1	0	0	feces
P2A18	Underrepresented	P2A18.rumen	farm2.rumen.P2A18	rumen	farm2	3	1	1	0	0	rumen
P2A18	Underrepresented	P2A18.SNP	farm2.SNP.P2A18	SNP	farm2	2	1	1	0	0	SNP
P2A19	Underrepresented	P2A19.feces	farm2.feces.P2A19	feces	farm2	3	1	1	0	0	feces
P2A19	Underrepresented	P2A19.rumen	farm2.rumen.P2A19	rumen	farm2	2	1	1	0	0	rumen
P2A19	Underrepresented	P2A19.SNP	farm2.SNP.P2A19	SNP	farm2	3	1	1	0	0	SNP
P2A20	Underrepresented	P2A20.feces	farm2.feces.P2A20	feces	farm2	3	1	1	0	2	feces
P2A20	Underrepresented	P2A20.rumen	farm2.rumen.P2A20	rumen	farm2	3	1	1	0	0	rumen
P2A20	Underrepresented	P2A20.SNP	farm2.SNP.P2A20	SNP	farm2	3	1	1	0	2	SNP
P2A21	Underrepresented	P2A21.feces	farm2.feces.P2A21	feces	farm2	2	1	1	0	0	feces
P2A21	Underrepresented	P2A21.rumen	farm2.rumen.P2A21	rumen	farm2	3	1	1	0	2	rumen
P2A21	Underrepresented	P2A21.SNP	farm2.SNP.P2A21	SNP	farm2	2	1	1	0	0	SNP
P2A22	Underrepresented	P2A22.feces	farm2.feces.P2A22	feces	farm2	2	1	1	0	.	feces
P2A22	Underrepresented	P2A22.rumen	farm2.rumen.P2A22	rumen	farm2	2	1	1	0	0	rumen
